reference_tables,predicted_tables
"authors, authorship, papers, inst","authors, authorship, papers, inst"
authors,authors
papers,papers
manufacturer,manufacturer
furniture,furniture
manufacturer,manufacturer
"furniture, furniture_manufacte, manufacturer","furniture_manufacte, manufacturer, furniture"
"manufacturer, furniture_manufacte","manufacturer, furniture_manufacte"
"furniture, furniture_manufacte","furniture_manufacte, furniture"
manufacturer,manufacturer
"furniture, furniture_manufacte","furniture_manufacte, furniture"
"furniture, furniture_manufacte","furniture_manufacte, furniture"
manufacturer,manufacturer
furniture,furniture
"manufacturer, furniture_manufacte","manufacturer, furniture_manufacte"
manufacturer,manufacturer
furniture,furniture
furniture,furniture
"person, personFriend","person, personFriend"
personfriend,"person, personFriend"
person,person
"person, personFriend","person, personFriend"
"person, personFriend",personfriend
"person, personFriend","person, personFriend"
person,person
"person, personFriend","person, personFriend"
person,person
person,person
"person, personFriend","person, personFriend"
person,person
person,person
person,person
person,person
"person, personFriend","person, personFriend"
"person, personFriend","person, personFriend"
"personfriend, person","person, personFriend"
"person, personFriend","person, personFriend"
"person, personFriend","person, personFriend"
person,person
person,person
person,person
person,person
"person, personFriend","person, personFriend"
"person, personFriend","person, personFriend"
"person, personFriend","person, personFriend"
"personfriend, person","personfriend, person"
"person, personFriend","person, personFriend"
"person, personFriend","person, personFriend"
person,person
personfriend,personfriend
person,person
person,person
person,person
"person, personFriend","person, personFriend"
"person, personFriend","person, personFriend"
personfriend,personfriend
person,person
person,person
"person, personFriend","person, personFriend"
"person, personFriend","person, personFriend"
person,person
person,person
person,person
"person, personFriend","person, personFriend"
"person, personFriend","person, personFriend"
person,person
"personfriend, person","person, personFriend"
"person, personFriend","person, personFriend"
person,person
person,person
"person, personFriend","person, personFriend"
"person, personfriend","person, personFriend"
"person, personFriend","person, personFriend"
person,person
"person, personFriend","person, personFriend"
person,person
person,person
person,person
person,None
"person, personfriend","person, personFriend"
person,person
"person, personFriend","person, personFriend"
person,person
person,person
person,person
"person, personFriend","person, personFriend"
"person, personFriend","person, personFriend"
"personfriend, person","person, personFriend"
person,person
"person, personFriend","person, personFriend"
"person, personFriend","person, personFriend"
personfriend,personfriend
person,person
person,person
"person, personFriend","person, personFriend"
personfriend,personfriend
"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
enzyme,enzyme
"enzyme, medicine_enzyme_interaction","enzyme, medicine_enzyme_interaction"
"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
"enzyme, medicine_enzyme_interaction","enzyme, medicine_enzyme_interaction"
"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
"medicine, medicine_enzyme_interaction, enzyme","medicine_enzyme_interaction, enzyme, medicine"
"enzyme, medicine_enzyme_interaction","enzyme, medicine_enzyme_interaction"
medicine,medicine
"medicine_enzyme_interaction, medicine, enzyme","medicine_enzyme_interaction, medicine"
medicine,medicine
enzyme,enzyme
medicine,medicine
enzyme,enzyme
medicine_enzyme_interaction,"paperkeyphrase, medicine_enzyme_interaction, keyphrase"
"medicine, medicine_enzyme_interaction, enzyme","medicine_enzyme_interaction, enzyme, medicine"
enzyme,enzyme
medicine,medicine
"enzyme, medicine_enzyme_interaction","enzyme, medicine_enzyme_interaction"
enzyme,enzyme
"enzyme, medicine_enzyme_interaction, medicine","enzyme, medicine_enzyme_interaction, medicine"
enzyme,enzyme
medicine,medicine
"enzyme, medicine_enzyme_interaction, medicine","enzyme, medicine_enzyme_interaction, medicine"
medicine_enzyme_interaction,medicine_enzyme_interaction
"enzyme, medicine_enzyme_interaction","enzyme, medicine_enzyme_interaction"
"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
enzyme,enzyme
enzyme,enzyme
medicine,medicine
enzyme,enzyme
"enzyme, medicine_enzyme_interaction","enzyme, medicine_enzyme_interaction"
"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
enzyme,enzyme
"medicine, medicine_enzyme_interaction","medicine_enzyme_interaction, medicine"
enzyme,enzyme
enzyme,enzyme
medicine,medicine
enzyme,enzyme
medicine,medicine
"apartment_bookings, apartments","apartment_bookings, apartments"
apartments,apartments
apartment_buildings,apartment_buildings
guests,guests
apartment_buildings,apartment_buildings
"apartment_facilities, apartments","apartment_facilities, apartments"
"apartments, apartment_facilities","apartments, apartment_facilities"
apartment_buildings,apartment_buildings
apartments,apartments
apartments,apartments
"apartment_buildings, apartments","apartment_buildings, apartments"
apartments,apartments
apartments,apartments
"apartments, view_unit_status","view_unit_status, apartments"
apartments,apartments
apartments,apartments
apartments,apartments
apartments,apartments
apartment_bookings,apartment_bookings
"apartment_facilities, apartments","apartment_facilities, apartments"
apartments,apartments
apartments,apartments
apartment_buildings,apartment_buildings
"apartment_bookings, guests","apartment_bookings, guests"
apartments,apartments
"apartment_bookings, guests","apartment_bookings, guests"
"apartment_buildings, apartments","apartment_buildings, apartments"
"apartment_bookings, apartments","apartment_bookings, apartments"
apartments,apartments
apartments,apartments
"apartment_facilities, apartments","apartment_facilities, apartments"
guests,guests
apartments,apartments
apartment_buildings,apartment_buildings
guests,guests
apartments,apartments
apartments,apartments
guests,guests
"apartment_bookings, apartments","apartment_bookings, apartments"
"apartment_bookings, apartments","apartment_bookings, apartments"
apartments,apartments
"apartment_bookings, apartments","apartment_bookings, apartments"
"apartment_bookings, apartments","apartment_bookings, apartments"
apartment_bookings,apartment_bookings
apartments,apartments
apartment_buildings,apartment_buildings
"apartment_buildings, apartments","apartment_buildings, apartments"
"apartment_bookings, apartments","apartment_bookings, apartments"
apartments,apartments
"apartment_bookings, guests","apartment_bookings, guests"
"apartment_buildings, apartments","apartment_buildings, apartments"
"apartments, view_unit_status","apartments, view_unit_status"
"apartment_bookings, apartments","apartment_bookings, apartments"
apartment_bookings,apartment_bookings
apartment_bookings,apartment_bookings
guests,guests
apartment_bookings,apartment_bookings
"apartment_bookings, apartments","apartment_bookings, apartments"
apartments,apartments
guests,guests
apartments,apartments
"apartment_bookings, apartments","apartment_bookings, apartments"
"apartment_bookings, apartments","apartment_bookings, apartments"
"apartment_buildings, apartments","apartment_buildings, apartments"
"apartment_bookings, apartments","apartment_bookings, apartments"
apartments,apartments
"apartment_bookings, apartments","apartment_bookings, apartments"
"apartments, apartment_facilities","apartments, apartment_facilities"
apartment_buildings,apartment_buildings
apartments,apartments
"apartment_facilities, apartments","apartment_facilities, apartments"
apartments,apartments
"loan, bank, customer","bank, loan, customer"
"loan, bank, customer","bank, loan"
customer,customer
customer,customer
bank,bank
customer,customer
"loan, bank, customer","bank, loan"
"bank, loan","bank, loan"
bank,bank
customer,customer
bank,bank
bank,bank
customer,customer
"bank, loan","bank, loan"
bank,bank
bank,bank
"customer, loan","customer, loan"
"customer, loan","customer, loan"
bank,bank
"bank, loan","bank, loan"
customer,customer
customer,customer
customer,customer
bank,bank
bank,bank
"customer, loan","customer, loan"
customer,customer
bank,customers
bank,bank
"customer, loan","customer, loan"
bank,bank
customer,customer
"customer, loan","customer, loan"
bank,bank
bank,bank
"bank, loan","bank, loan"
"customer, loan","customer, loan"
"customer, loan","customer, loan"
"customer, loan","customer, loan"
"customer, loan","customer, loan"
"customer, loan","customer, loan"
"bank, loan","bank, loan"
customer,customer
customer,customer
customer,customer
bank,bank
"bank, loan","bank, loan"
bank,bank
"customer, loan","customer, loan"
"customer, loan","customer, loan"
customer,customer
bank,bank
customer,customer
"customer, loan","customer, loan"
"customer, loan","customer, loan"
"customer, loan","customer, loan"
"customer, loan","customer, loan"
"bank, loan","bank, loan"
bank,bank
customer,customer
customer,customer
"customer, loan","customer, loan"
bank,customers
"bank, loan","bank, loan"
"bank, loan","bank, loan"
customer,customer
customer,customer
bank,bank
customer,customer
"customer, loan","customer, loan"
customer,customer
"customer, loan","customer, loan"
"stock, device, shop","stock, shop, device"
shop,shop
"device, stock","stock, device"
"stock, device, shop","stock, shop, device"
"stock, shop","stock, shop"
device,device
shop,shop
device,device
device,device
device,device
"device, stock","stock, device"
"stock, shop","stock, shop"
device,device
stock,stock
"stock, shop","stock, shop"
shop,shop
"stock, shop","stock, shop"
device,device
shop,shop
shop,shop
shop,shop
device,device
"stock, shop","stock, shop"
"stock, shop","stock, shop"
device,device
device,device
"shop, stock","shop, stock"
"shop, stock","shop, stock"
device,device
shop,shop
stock,stock
device,device
shop,shop
"stock, device","stock, device"
device,device
device,device
ship,ship
captain,captain
captain,captain
ship,ship
"ship, captain","ship, captain"
ship,ship
"ship, captain","ship, captain"
captain,captain
captain,captain
ship,ship
captain,captain
captain,captain
captain,captain
ship,ship
"ship, captain","ship, captain"
ship,ship
captain,captain
captain,captain
captain,captain
ship,ship
ship,ship
captain,captain
captain,captain
"ship, captain","ship, captain"
"ship, captain","ship, captain"
ship,ship
"ship, captain","ship, captain"
captain,captain
captain,captain
ship,ship
captain,captain
captain,captain
captain,captain
"ship, captain","ship, captain"
captain,captain
captain,captain
captain,captain
captain,captain
ship,ship
captain,captain
ship,ship
ship,ship
captain,captain
"ship, captain","ship, captain"
channel,channel
program,program
channel,channel
program,program
channel,channel
broadcast,broadcast
program,program
"channel, broadcast","channel, broadcast"
"program, broadcast","broadcast, program"
channel,channel
channel,channel
program,program
channel,channel
"program, broadcast","broadcast, channel, program"
"program, broadcast","broadcast, program"
"program, broadcast","broadcast, program"
program,program
channel,channel
channel,channel
"channel, broadcast","channel, broadcast"
broadcast,broadcast
program,program
broadcast,broadcast
channel,channel
program,program
channel,channel
"program, broadcast","broadcast, program"
broadcast,broadcast
program,program
program,program
channel,channel
channel,channel
channel,channel
"program, broadcast","broadcast, program"
program,program
"channel, broadcast","channel, broadcast"
representative,representative
representative,representative
"election, representative","election, representative"
representative,representative
representative,representative
"election, representative","election, representative"
"election, representative","election, representative"
representative,representative
election,election
representative,representative
"election, representative","election, representative"
election,election
representative,representative
representative,representative
"election, representative","election, representative"
election,election
election,election
"representative, election","representative, election"
chip_model,chip_model
phone,"chip_model, phone"
phone,phone
"chip_model, phone","chip_model, phone"
"screen_mode, phone","phone, screen_mode"
"screen_mode, phone","phone, screen_mode"
phone,phone
chip_model,chip_model
"chip_model, phone","chip_model, phone"
chip_model,chip_model
"screen_mode, phone","phone, screen_mode"
"chip_model, phone","chip_model, phone"
phone,phone
phone,phone
"screen_mode, phone","phone, screen_mode"
"chip_model, phone","chip_model, phone"
phone,phone
"chip_model, phone","chip_model, phone"
chip_model,chip_model
"screen_mode, phone","phone, screen_mode"
screen_mode,screen_mode
phone,phone
chip_model,chip_model
"chip_model, phone, screen_mode","chip_model, phone, screen_mode"
chip_model,chip_model
"screen_mode, phone","phone, screen_mode"
phone,phone
"technician, repair_assignment","technician, repair_assignment"
technician,technician
technician,technician
technician,technician
technician,technician
technician,technician
technician,technician
"repair_assignment, machine, technician","repair_assignment, technician, machine"
technician,technician
technician,technician
"technician, repair_assignment","technician, repair_assignment"
technician,technician
technician,technician
technician,technician
technician,technician
"repair_assignment, technician","repair_assignment, technician"
"repair_assignment, machine, technician","repair_assignment, technician, machine"
technician,technician
technician,technician
technician,technician
"repair_assignment, machine, technician","repair_assignment, technician, machine"
technician,technician
"repair_assignment, machine, technician","repair_assignment, technician, machine"
technician,technician
technician,technician
"repair_assignment, machine, technician","repair_assignment, technician, machine"
"repair_assignment, technician","repair_assignment, technician"
submission,submission
submission,submission
workshop,workshop
submission,submission
"submission, acceptance","submission, acceptance"
"submission, acceptance","submission, acceptance"
submission,submission
submission,submission
submission,submission
"acceptance, submission","acceptance, submission"
"acceptance, submission","acceptance, submission"
submission,submission
submission,submission
submission,submission
"acceptance, submission","acceptance, submission"
submission,submission
workshop,workshop
submission,submission
submission,submission
"acceptance, submission","acceptance, submission"
"acceptance, submission","acceptance, submission"
submission,submission
submission,submission
"acceptance, submission","acceptance, submission"
submission,submission
"acceptance, submission","acceptance, submission"
submission,submission
"rent_arrears, cmi_cross_references, customer_master_index","rent_arrears, cmi_cross_references, customer_master_index"
"cmi_cross_references, benefits_overpayments","cmi_cross_references, benefits_overpayments"
"cmi_cross_references, parking_fines","parking_fines, cmi_cross_references"
rent_arrears,rent_arrears
"electoral_register, cmi_cross_references","electoral_register, cmi_cross_references"
parking_fines,parking_fines
"customer_master_index, cmi_cross_references","customer_master_index, cmi_cross_references"
"business_rates, cmi_cross_references","business_rates, cmi_cross_references"
cmi_cross_references,cmi_cross_references
cmi_cross_references,cmi_cross_references
customer_master_index,customer_master_index
"customer_master_index, cmi_cross_references","customer_master_index, cmi_cross_references"
"cmi_cross_references, parking_fines","cmi_cross_references, parking_fines"
product,products
store,store
"store, store_district, district","store, store_district, district"
"store, store_district, district","store, store_district, district"
product,product
"store, store_district, district","store, store_district, district"
product,product
"store, store_district, district","store, store_district, district"
district,district
product,product
district,district
district,district
district,district
product,product
product,products
"store, store_district, district","store, store_district, district"
district,district
"store, store_district, district","store, store_district, district"
"store, store_district, district","store, store_district, district"
product,product
district,district
"store, store_district, district","store, store_district, district"
"product, store_product, store","store_product, store, product"
product,product
product,product
"product, store_product, store","store_product, store, product"
"store, store_district, district","store, store_district, district"
district,district
product,product
product,product
"store, store_district, district","store, store_district, district"
district,district
district,district
district,district
store,store
"store, store_district, district","store, store_district, district"
district,district
product,product
"store, store_district, district","store, store_district, district"
product,product
gas_station,gas_station
company,company
"station_company, company","station_company, company"
gas_station,gas_station
company,company
"station_company, company, gas_station","station_company, gas_station, company"
company,companies
company,companies
company,companies
company,companies
company,None
company,companies
company,companies
"station_company, company, gas_station","station_company, gas_station, company"
gas_station,gas_station
company,companies
gas_station,gas_station
gas_station,gas_station
company,company
company,company
company,company
company,None
company,company
company,station_company
company,company
company,companies
company,company
"company, station_company","station_company, company"
gas_station,gas_station
company,company
"company, station_company","station_company, company"
gas_station,gas_station
gas_station,gas_station
"station_company, company, gas_station","station_company, gas_station, company"
gas_station,gas_station
company,company
gas_station,gas_station
"station_company, company, gas_station","station_company, gas_station, company"
company,company
"station_company, company, gas_station","station_company, gas_station, company"
"station_company, company, gas_station","station_company, gas_station, company"
company,companies
festival_detail,festival_detail
festival_detail,festival_detail
festival_detail,festival_detail
artwork,artwork
"nomination, artwork, festival_detail","nomination, artwork, festival_detail"
artwork,artwork
festival_detail,festival_detail
"nomination, artwork, festival_detail","nomination, artwork, festival_detail"
festival_detail,festival_detail
festival_detail,festival_detail
"nomination, artwork, festival_detail","nomination, artwork, festival_detail"
artwork,artwork
festival_detail,festival_detail
"nomination, artwork, festival_detail","nomination, artwork, festival_detail"
festival_detail,festival_detail
festival_detail,festival_detail
artwork,artwork
"nomination, artwork, festival_detail","nomination, artwork, festival_detail"
"nomination, artwork, festival_detail","nomination, artwork"
artwork,artwork
building,buildings
building,buildings
"institution, protein, building","institution, protein, building"
"institution, protein","institution, protein"
building,building
institution,institution
building,buildings
building,None
"institution, protein","institution, protein"
building,building
"building, institution","building, institution"
"institution, protein","institution, protein"
institution,institution
"building, institution","building, institution"
"building, institution","building, institution"
institution,institution
"institution, protein","institution, protein"
institution,institution
roller_coaster,roller_coaster
roller_coaster,roller_coaster
roller_coaster,roller_coaster
"country, roller_coaster","country, roller_coaster"
"country, roller_coaster","country, roller_coaster"
roller_coaster,roller_coaster
roller_coaster,roller_coaster
"country, roller_coaster","country, roller_coaster"
roller_coaster,roller_coaster
"country, roller_coaster","country, roller_coaster"
roller_coaster,roller_coaster
"country, roller_coaster","country, roller_coaster"
roller_coaster,roller_coaster
country,country
roller_coaster,roller_coaster
roller_coaster,roller_coaster
events,events
"services, events",events
"events, participants_in_events","events, participants_in_events"
"events, participants_in_events","events, participants_in_events"
participants_in_events,participants_in_events
"participants, participants_in_events, events, services","participants_in_events, events, services"
participants,participants
"participants, participants_in_events","participants_in_events, participants"
participants_in_events,participants_in_events
participants,participants
"events, participants_in_events, participants","events, participants_in_events, participants"
"events, services","events, services"
participants,participants
"participants, participants_in_Events","participants_in_events, participants"
bridge,bridge
"architect, mill","architect, mill"
"bridge, architect","bridge, architect"
"architect, bridge","architect, bridge"
architect,architect
"architect, mill","architect, mill"
mill,mill
"architect, bridge, mill","architect, bridge, mill"
"mill, architect","mill, architect"
mill,mill
"bridge, architect","bridge, architect"
architect,architect
"mill, architect, bridge","mill, architect, bridge"
mill,mill
"architect, mill","architect, mill"
bridge,bridge
railway,railway
railway,railway
manager,manager
manager,manager
train,train
manager,manager
manager,manager
railway,railway
manager,manager
"railway, train","railway, train"
"railway, train","railway, train"
railway,railway
railway,railway
manager,manager
railway,railway
"railway, train","railway, train"
manager,manager
railway,railway
manager,manager
publication,publication
publication,publication
book,book
publication,publication
publication,publication
book,book
publication,publication
"book, publication","book, publication"
book,book
"book, publication","book, publication"
book,book
publication,publication
publication,publication
book,book_club
book,book
publication,publication
"book, publication","book, publication"
"book, publication","book, publication"
publication,publication
