question,create_table,sql,table_name
"When the Runners-Up is larger than 0, what's the sum of winners?","CREATE TABLE 2-1653950-4 (
  ""Team"" TEXT,
  ""Winners"" TEXT,
  ""Runners_Up"" TEXT,
  ""Years_Won"" TEXT,
  ""Years_Runner_Up"" TEXT
);","SELECT SUM(""Winners"") FROM 2-1653950-4 WHERE ""Runners_Up"" > 0",2-1653950-4
Who was on the Men's Doubles Team in 2002?,"CREATE TABLE 2-12513240-1 (
  ""Year"" TEXT,
  ""Men_s_singles"" TEXT,
  ""Women_s_singles"" TEXT,
  ""Men_s_doubles"" TEXT,
  ""Women_s_doubles"" TEXT,
  ""Mixed_doubles"" TEXT
);","SELECT ""Men_s_doubles"" FROM 2-12513240-1 WHERE ""Year"" = 2002",2-12513240-1
How many Points has Wins larger than 0?,"CREATE TABLE 2-16431762-2 (
  ""Year"" TEXT,
  ""Class"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Wins"" TEXT
);","SELECT COUNT(""Points"") FROM 2-16431762-2 WHERE ""Wins"" > 0",2-16431762-2
What was the highest order amount in weeks prier to 15 and a major less than 1?,"CREATE TABLE 2-10753786-4 (
  ""Rank"" TEXT,
  ""Player"" TEXT,
  ""Country"" TEXT,
  ""Weeks"" TEXT,
  ""Order"" TEXT,
  ""Majors"" TEXT
);","SELECT MAX(""Order"") FROM 2-10753786-4 WHERE ""Weeks"" < 15 AND ""Majors"" < 1",2-10753786-4
What is the total number of Long with a Av/g of 124.9 but Loss greater than 0?,"CREATE TABLE 2-14931889-21 (
  ""Name"" TEXT,
  ""GP_GS"" TEXT,
  ""Gain"" TEXT,
  ""Loss"" TEXT,
  ""Long"" TEXT,
  ""Avg_G"" TEXT
);","SELECT COUNT(""Long"") FROM 2-14931889-21 WHERE ""Loss"" > 0 AND ""Avg_G"" = 124.9",2-14931889-21
Name the least f/laps,"CREATE TABLE 1-20398823-1 (
  ""Season"" TEXT,
  ""Series"" TEXT,
  ""Team"" TEXT,
  ""Races"" TEXT,
  ""Wins"" TEXT,
  ""Poles"" TEXT,
  ""F_Laps"" TEXT,
  ""Podiums"" TEXT,
  ""Points"" TEXT,
  ""Position"" TEXT
);","SELECT MIN(""F_Laps"") FROM 1-20398823-1",1-20398823-1
Matches of 127 has how many total number of inns?,"CREATE TABLE 2-1327390-2 (
  ""Name"" TEXT,
  ""Seasons"" TEXT,
  ""Matches"" TEXT,
  ""Inns"" TEXT,
  ""Runs"" TEXT
);","SELECT COUNT(""Inns"") FROM 2-1327390-2 WHERE ""Matches"" = 127",2-1327390-2
How many chassis used number 34?,"CREATE TABLE 1-15491596-1 (
  ""No"" TEXT,
  ""Driver"" TEXT,
  ""Entrant"" TEXT,
  ""Constructor"" TEXT,
  ""Chassis"" TEXT,
  ""Engine"" TEXT
);","SELECT COUNT(""Chassis"") FROM 1-15491596-1 WHERE ""No"" = 34",1-15491596-1
"drop goals larger than 0, and a Penalties of 52, and a Number larger than 5 had what lowest score?","CREATE TABLE 2-13255695-3 (
  ""Number"" TEXT,
  ""Player"" TEXT,
  ""Years_active"" TEXT,
  ""Caps"" TEXT,
  ""Tries"" TEXT,
  ""Conversions"" TEXT,
  ""Penalties"" TEXT,
  ""drop_goals"" TEXT,
  ""Average_score"" TEXT,
  ""Score"" TEXT
);","SELECT MIN(""Score"") FROM 2-13255695-3 WHERE ""drop_goals"" > 0 AND ""Penalties"" = 52 AND ""Number"" > 5",2-13255695-3
What is the highest number of terps points in games where the opponent made 53 points?,"CREATE TABLE 1-22862203-2 (
  ""Date"" TEXT,
  ""Location"" TEXT,
  ""Opponent"" TEXT,
  ""Terps_Points"" TEXT,
  ""Opp__Points"" TEXT,
  ""Record"" TEXT
);","SELECT MAX(""Terps_Points"") FROM 1-22862203-2 WHERE ""Opp__Points"" = 53",1-22862203-2
What Pastoral Region has 3 Cemeteries?,"CREATE TABLE 2-1692165-1 (
  ""Pastoral_Region"" TEXT,
  ""Episcopal_vicar"" TEXT,
  ""Parishes"" TEXT,
  ""High_schools"" TEXT,
  ""Elementary_schools"" TEXT,
  ""Cemeteries"" TEXT
);","SELECT ""Pastoral_Region"" FROM 2-1692165-1 WHERE ""Cemeteries"" = 3",2-1692165-1
What was the pick in 2004?,"CREATE TABLE 2-15065495-2 (
  ""Year"" TEXT,
  ""Pick"" TEXT,
  ""Player"" TEXT,
  ""Position"" TEXT,
  ""College"" TEXT
);","SELECT ""Pick"" FROM 2-15065495-2 WHERE ""Year"" = 2004",2-15065495-2
What is the nickname of the team whose 2013/2014 enrollment is 436? ,"CREATE TABLE 1-18304058-2 (
  ""Team_Name"" TEXT,
  ""Schools"" TEXT,
  ""Sports"" TEXT,
  ""Host"" TEXT,
  ""Nickname_s_"" TEXT,
  ""Colors"" TEXT,
  ""Enrollment__2013_14_"" TEXT
);","SELECT ""Nickname_s_"" FROM 1-18304058-2 WHERE ""Enrollment__2013_14_"" = 436",1-18304058-2
What is the minimum MotoGP/500cc ranking?,"CREATE TABLE 1-2889810-1 (
  ""Rank"" TEXT,
  ""Rider"" TEXT,
  ""Country"" TEXT,
  ""Winning_span"" TEXT,
  ""MotoGP_500cc"" TEXT,
  ""_350cc"" TEXT,
  ""Moto2_250cc"" TEXT,
  ""Moto3_125cc"" TEXT,
  ""_80cc_50cc"" TEXT,
  ""Total"" TEXT
);","SELECT MIN(""MotoGP_500cc"") FROM 1-2889810-1",1-2889810-1
What is the total number of losses of the player that has drawn 1 and played smaller than 12?,"CREATE TABLE 2-16501954-21 (
  ""Position"" TEXT,
  ""Name"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Points"" TEXT
);","SELECT COUNT(""Lost"") FROM 2-16501954-21 WHERE ""Drawn"" = 1 AND ""Played"" < 12",2-16501954-21
"Which Total has a Bronze of 5, and a Silver smaller than 1?","CREATE TABLE 2-18526406-4 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT MIN(""Total"") FROM 2-18526406-4 WHERE ""Bronze"" = 5 AND ""Silver"" < 1",2-18526406-4
"Which UEFA Champions League has a La Liga of 17, and a Copa del Rey larger than 0?","CREATE TABLE 2-18515909-11 (
  ""Name"" TEXT,
  ""La_Liga"" TEXT,
  ""Copa_del_Rey"" TEXT,
  ""UEFA_Champions_League"" TEXT,
  ""FIFA_Club_World_Championship"" TEXT,
  ""Total"" TEXT
);","SELECT MIN(""UEFA_Champions_League"") FROM 2-18515909-11 WHERE ""La_Liga"" = 17 AND ""Copa_del_Rey"" > 0",2-18515909-11
What is the position of the player with a 143 overall?,"CREATE TABLE 2-17100961-34 (
  ""Round"" TEXT,
  ""Pick"" TEXT,
  ""Overall"" TEXT,
  ""Name"" TEXT,
  ""Position"" TEXT,
  ""College"" TEXT
);","SELECT ""Position"" FROM 2-17100961-34 WHERE ""Overall"" = 143",2-17100961-34
what is the nickname founded in 1902?,"CREATE TABLE 1-1715730-2 (
  ""Institution"" TEXT,
  ""Location"" TEXT,
  ""Founded"" TEXT,
  ""Type"" TEXT,
  ""Enrollment"" TEXT,
  ""Nickname"" TEXT,
  ""Joined"" TEXT,
  ""Left"" TEXT,
  ""Current_Conference"" TEXT
);","SELECT ""Nickname"" FROM 1-1715730-2 WHERE ""Founded"" = 1902",1-1715730-2
How many values for high assists when the game is 81?,"CREATE TABLE 1-23248869-10 (
  ""Game"" TEXT,
  ""Date"" TEXT,
  ""Team"" TEXT,
  ""Score"" TEXT,
  ""High_points"" TEXT,
  ""High_rebounds"" TEXT,
  ""High_assists"" TEXT,
  ""Location_Attendance"" TEXT,
  ""Record"" TEXT
);","SELECT COUNT(""High_assists"") FROM 1-23248869-10 WHERE ""Game"" = 81",1-23248869-10
Name the opponent for game 5,"CREATE TABLE 2-14208855-12 (
  ""Game"" TEXT,
  ""Date"" TEXT,
  ""Opponent"" TEXT,
  ""Score"" TEXT,
  ""Series"" TEXT
);","SELECT ""Opponent"" FROM 2-14208855-12 WHERE ""Game"" = 5",2-14208855-12
What is the lowest cuts made that had a Top-25 less than 6 and wins greater than 0?,"CREATE TABLE 2-1584996-5 (
  ""Tournament"" TEXT,
  ""Wins"" TEXT,
  ""Top_5"" TEXT,
  ""Top_10"" TEXT,
  ""Top_25"" TEXT,
  ""Events"" TEXT,
  ""Cuts_made"" TEXT
);","SELECT MIN(""Cuts_made"") FROM 2-1584996-5 WHERE ""Top_25"" < 6 AND ""Wins"" < 0",2-1584996-5
What was the earliest season recorded for any team,"CREATE TABLE 1-1560673-1 (
  ""Club"" TEXT,
  ""Position_in_2013"" TEXT,
  ""First_season"" TEXT,
  ""First_season_of_current_spell"" TEXT,
  ""Number_of_seasons_in_Superettan"" TEXT,
  ""Number_of_seasons_in_second_tier"" TEXT
);","SELECT MIN(""First_season"") FROM 1-1560673-1",1-1560673-1
"What is the sum of Goals Against, when Lost is 45, and when Points is greater than 68?","CREATE TABLE 2-15722146-1 (
  ""Season"" TEXT,
  ""Games"" TEXT,
  ""Lost"" TEXT,
  ""Points"" TEXT,
  ""Pct__"" TEXT,
  ""Goals_for"" TEXT,
  ""Goals_against"" TEXT,
  ""Playoffs"" TEXT
);","SELECT SUM(""Goals_against"") FROM 2-15722146-1 WHERE ""Lost"" = 45 AND ""Points"" > 68",2-15722146-1
"Which Points is the average one that has Drawn of 3, and a Played smaller than 22?","CREATE TABLE 2-15384084-2 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Against"" TEXT,
  ""Difference"" TEXT
);","SELECT AVG(""Points"") FROM 2-15384084-2 WHERE ""Drawn"" = 3 AND ""Played"" < 22",2-15384084-2
How many communities had a total renewable generation of 1375?,"CREATE TABLE 1-13566548-1 (
  ""Autonomous_Community"" TEXT,
  ""Hydroelectric_power"" TEXT,
  ""Wind_power"" TEXT,
  ""Solar_power"" TEXT,
  ""Biomass_power"" TEXT,
  ""Solid_waste_power"" TEXT,
  ""Total_Renewable_Generation"" TEXT,
  ""Total_Electricity_Demand"" TEXT,
  ""__Renewable_of_Total_Electricity_Demand"" TEXT
);","SELECT COUNT(""Autonomous_Community"") FROM 1-13566548-1 WHERE ""Total_Renewable_Generation"" = 1375",1-13566548-1
What average played has an against less than 15?,"CREATE TABLE 2-15418823-1 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Against"" TEXT,
  ""Difference"" TEXT
);","SELECT AVG(""Played"") FROM 2-15418823-1 WHERE ""Against"" < 15",2-15418823-1
What date did the episode with a weekly ranking of 14 air?,"CREATE TABLE 2-12890652-4 (
  ""Episode_No_"" TEXT,
  ""Airdate"" TEXT,
  ""Total_Viewers"" TEXT,
  ""Share"" TEXT,
  ""BBC_One_Weekly_Ranking"" TEXT
);","SELECT ""Airdate"" FROM 2-12890652-4 WHERE ""BBC_One_Weekly_Ranking"" = 14",2-12890652-4
I want the time/retired for grid of 24,"CREATE TABLE 2-1123154-2 (
  ""Driver"" TEXT,
  ""Constructor"" TEXT,
  ""Laps"" TEXT,
  ""Time_Retired"" TEXT,
  ""Grid"" TEXT
);","SELECT ""Time_Retired"" FROM 2-1123154-2 WHERE ""Grid"" = 24",2-1123154-2
"What is the sum of Wins with a result of 0, and the away wins of 1, and the losses are less than 5?","CREATE TABLE 2-15861688-4 (
  ""Year"" TEXT,
  ""Matches"" TEXT,
  ""Wins"" TEXT,
  ""Losses"" TEXT,
  ""No_Result"" TEXT,
  ""Success_Rate"" TEXT,
  ""Away_Wins"" TEXT,
  ""Away_Losses"" TEXT
);","SELECT SUM(""Wins"") FROM 2-15861688-4 WHERE ""No_Result"" = 0 AND ""Away_Wins"" = 1 AND ""Losses"" < 5",2-15861688-4
Who was the spokesperson for France in 1970?,"CREATE TABLE 1-1368649-9 (
  ""Year_s_"" TEXT,
  ""Grand_Final_Television_Commentator"" TEXT,
  ""Grand_Final_Dual_Television_Commentator"" TEXT,
  ""Spokesperson"" TEXT,
  ""Semi_Final_Television_Commentator"" TEXT,
  ""Semi_Final_Dual_Television_Commentator"" TEXT
);","SELECT ""Spokesperson"" FROM 1-1368649-9 WHERE ""Year_s_"" = 1970",1-1368649-9
What is the total medals for nation with more than 0 silvers and more than 0 golds?,"CREATE TABLE 2-17455745-1 (
  ""Rank"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT AVG(""Total"") FROM 2-17455745-1 WHERE ""Silver"" > 0 AND ""Gold"" > 0",2-17455745-1
What is the least number of wins West Ham got when they tied 27 times?,"CREATE TABLE 2-17579291-1 (
  ""Competition"" TEXT,
  ""Played"" TEXT,
  ""Millwall_wins"" TEXT,
  ""Drawn"" TEXT,
  ""West_Ham_wins"" TEXT,
  ""Millwall_goals"" TEXT,
  ""West_Ham_goals"" TEXT
);","SELECT MIN(""West_Ham_wins"") FROM 2-17579291-1 WHERE ""Drawn"" > 27",2-17579291-1
What was the score for the player than won $450?,"CREATE TABLE 2-18007119-1 (
  ""Place"" TEXT,
  ""Player"" TEXT,
  ""Country"" TEXT,
  ""Score"" TEXT,
  ""To_par"" TEXT,
  ""Money______"" TEXT
);","SELECT ""Score"" FROM 2-18007119-1 WHERE ""Money______"" = 450",2-18007119-1
Which player has more than 0 goals and less than 12 tries?,"CREATE TABLE 2-14360941-2 (
  ""Squad_No"" TEXT,
  ""Player"" TEXT,
  ""Position"" TEXT,
  ""Tries"" TEXT,
  ""Goals"" TEXT,
  ""Points"" TEXT
);","SELECT ""Player"" FROM 2-14360941-2 WHERE ""Goals"" > 0 AND ""Tries"" < 12",2-14360941-2
who's the premier with in 1970,"CREATE TABLE 1-10566855-1 (
  ""Season"" TEXT,
  ""Premier"" TEXT,
  ""Runner_up"" TEXT,
  ""Score"" TEXT,
  ""Margin"" TEXT,
  ""Venue"" TEXT,
  ""Attendance"" TEXT
);","SELECT ""Premier"" FROM 1-10566855-1 WHERE ""Season"" = 1970",1-10566855-1
What is the smallest pick with a Reg GP less than 0?,"CREATE TABLE 2-11636955-39 (
  ""Rd__"" TEXT,
  ""Pick__"" TEXT,
  ""Player"" TEXT,
  ""Team__League_"" TEXT,
  ""Reg_GP"" TEXT
);","SELECT MIN(""Pick__"") FROM 2-11636955-39 WHERE ""Reg_GP"" < 0",2-11636955-39
What is the average of the silver that has less than 0 gold,"CREATE TABLE 2-12511589-1 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT AVG(""Silver"") FROM 2-12511589-1 WHERE ""Gold"" < 0",2-12511589-1
What is the average year that has a final Tour position of 54 and a final Vuelta position over 55?,"CREATE TABLE 2-1286819-7 (
  ""Rider"" TEXT,
  ""Year"" TEXT,
  ""Final_Position___Giro"" TEXT,
  ""Final_Position___Tour"" TEXT,
  ""Final_Position___Vuelta"" TEXT
);","SELECT AVG(""Year"") FROM 2-1286819-7 WHERE ""Final_Position___Tour"" = 54 AND ""Final_Position___Vuelta"" > 55",2-1286819-7
Name the sum of round for pick of 169,"CREATE TABLE 2-13909393-1 (
  ""Round"" TEXT,
  ""Pick"" TEXT,
  ""Player"" TEXT,
  ""Nationality"" TEXT,
  ""College_Junior_Club_Team"" TEXT
);","SELECT SUM(""Round"") FROM 2-13909393-1 WHERE ""Pick"" = 169",2-13909393-1
"Which Pocona Municipality (%) is the lowest one that has a Puerto Villarroel Municipality (%) smaller than 14.6, and a Chimoré Municipality (%) of 5.1, and an Entre Ríos Municipality (%) smaller than 0.9?","CREATE TABLE 2-14279071-2 (
  ""Ethnic_group"" TEXT,
  ""Totora_Municipality____"" TEXT,
  ""Pojo_Municipality____"" TEXT,
  ""Pocona_Municipality____"" TEXT,
  ""Chimor__Municipality____"" TEXT,
  ""Puerto_Villarroel_Municipality____"" TEXT,
  ""Entre_R_os_Municipality____"" TEXT
);","SELECT MIN(""Pocona_Municipality____"") FROM 2-14279071-2 WHERE ""Puerto_Villarroel_Municipality____"" < 14.6 AND ""Chimor__Municipality____"" = 5.1 AND ""Entre_R_os_Municipality____"" < 0.9",2-14279071-2
What is the Time of the Rowers in Rank 1?,"CREATE TABLE 2-18662686-5 (
  ""Rank"" TEXT,
  ""Rowers"" TEXT,
  ""Country"" TEXT,
  ""Time"" TEXT,
  ""Notes"" TEXT
);","SELECT ""Time"" FROM 2-18662686-5 WHERE ""Rank"" = 1",2-18662686-5
What was the average amount of losses for teams with played less than 14?,"CREATE TABLE 2-16566850-12 (
  ""Position"" TEXT,
  ""Name"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Points"" TEXT
);","SELECT AVG(""Lost"") FROM 2-16566850-12 WHERE ""Played"" < 14",2-16566850-12
What number pick was the player drafted in round 3 at #28 overall?,"CREATE TABLE 2-17100961-16 (
  ""Round"" TEXT,
  ""Pick"" TEXT,
  ""Overall"" TEXT,
  ""Name"" TEXT,
  ""Position"" TEXT,
  ""College"" TEXT
);","SELECT AVG(""Pick"") FROM 2-17100961-16 WHERE ""Overall"" < 28 AND ""Round"" = 3",2-17100961-16
What is the goals against for the goalkeeper with 2520 minutes?,"CREATE TABLE 2-1244766-10 (
  ""Player"" TEXT,
  ""Club"" TEXT,
  ""Games_Played"" TEXT,
  ""Minutes"" TEXT,
  ""Goals_Against"" TEXT,
  ""GA_Average"" TEXT,
  ""Wins"" TEXT,
  ""Loses"" TEXT
);","SELECT ""Goals_Against"" FROM 2-1244766-10 WHERE ""Minutes"" = 2520",2-1244766-10
What is the production code of the episode with series #8?,"CREATE TABLE 1-28967275-2 (
  ""Episode__"" TEXT,
  ""Series__"" TEXT,
  ""Episode_Title"" TEXT,
  ""Original_air_date"" TEXT,
  ""Production_Code"" TEXT
);","SELECT ""Production_Code"" FROM 1-28967275-2 WHERE ""Series__"" = 8",1-28967275-2
"When the Apps were smaller than 22, what's the lowest amount of goals scored in a game?","CREATE TABLE 2-11415108-1 (
  ""Season"" TEXT,
  ""Club"" TEXT,
  ""Apps"" TEXT,
  ""Goals"" TEXT,
  ""Division"" TEXT
);","SELECT MIN(""Goals"") FROM 2-11415108-1 WHERE ""Apps"" < 22",2-11415108-1
Name the period for appearances being 380,"CREATE TABLE 1-24565004-2 (
  ""Name"" TEXT,
  ""Position"" TEXT,
  ""Period"" TEXT,
  ""Appearances_"" TEXT,
  ""Goals_"" TEXT,
  ""Nationality_"" TEXT
);","SELECT ""Period"" FROM 1-24565004-2 WHERE ""Appearances_"" = 380",1-24565004-2
Name the province with rank more than 49,"CREATE TABLE 2-12679495-3 (
  ""Rank"" TEXT,
  ""Mountain_Peak"" TEXT,
  ""Province"" TEXT,
  ""Mountain_Range"" TEXT,
  ""Location"" TEXT
);","SELECT ""Province"" FROM 2-12679495-3 WHERE ""Rank"" > 49",2-12679495-3
What is the average medal total of the country who had 0 silver medals and participated in less than 15 games?,"CREATE TABLE 2-1264114-1 (
  ""Games"" TEXT,
  ""First"" TEXT,
  ""Last"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT,
  ""Best_finish__first_last_"" TEXT
);","SELECT AVG(""Total"") FROM 2-1264114-1 WHERE ""Games"" < 15 AND ""Silver"" < 0",2-1264114-1
"What is the Nation with less than 1 silver, and the total is 1, and bronze is less than 0?","CREATE TABLE 2-15381310-1 (
  ""Rank"" TEXT,
  ""Nation"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT ""Nation"" FROM 2-15381310-1 WHERE ""Silver"" < 1 AND ""Total"" = 1 AND ""Bronze"" = 0",2-15381310-1
What year shows 4 points?,"CREATE TABLE 2-1226513-3 (
  ""Year"" TEXT,
  ""Entrant"" TEXT,
  ""Chassis"" TEXT,
  ""Engine"" TEXT,
  ""Points"" TEXT
);","SELECT ""Year"" FROM 2-1226513-3 WHERE ""Points"" = 4",2-1226513-3
Who were all the candidates when the first elected year was 1961?,"CREATE TABLE 1-1341884-20 (
  ""District"" TEXT,
  ""Incumbent"" TEXT,
  ""Party"" TEXT,
  ""First_elected"" TEXT,
  ""Result"" TEXT,
  ""Candidates"" TEXT
);","SELECT ""Candidates"" FROM 1-1341884-20 WHERE ""First_elected"" = 1961",1-1341884-20
Which police force serves a population of 17000?,"CREATE TABLE 1-12340907-1 (
  ""Municipality"" TEXT,
  ""Population"" TEXT,
  ""Police_officers"" TEXT,
  ""Residents_per_officer"" TEXT,
  ""Total_costs__2005_"" TEXT,
  ""Cost_per_capita"" TEXT,
  ""Case_burden"" TEXT,
  ""Crime_rate_per_1_000_people"" TEXT,
  ""Police_force"" TEXT
);","SELECT ""Police_force"" FROM 1-12340907-1 WHERE ""Population"" = 17000",1-12340907-1
"Win % larger than 47.1, and a Matches smaller than 145 had what lowest lost?","CREATE TABLE 2-14347400-1 (
  ""Nationality"" TEXT,
  ""Matches"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Win__"" TEXT
);","SELECT MIN(""Lost"") FROM 2-14347400-1 WHERE ""Win__"" > 47.1 AND ""Matches"" < 145",2-14347400-1
What is the maximum number of points scored against?,"CREATE TABLE 1-21991074-1 (
  ""Position"" TEXT,
  ""Club"" TEXT,
  ""Played"" TEXT,
  ""H_Win"" TEXT,
  ""H_Draw"" TEXT,
  ""A_Win"" TEXT,
  ""A_Draw"" TEXT,
  ""Lost"" TEXT,
  ""Def_"" TEXT,
  ""Pts_For"" TEXT,
  ""Pts_Agst"" TEXT,
  ""Pair"" TEXT,
  ""Long"" TEXT,
  ""Points"" TEXT,
  ""Average"" TEXT
);","SELECT MAX(""Pts_Agst"") FROM 1-21991074-1",1-21991074-1
During which years did the golfer with the total of 289 win?,"CREATE TABLE 2-18786347-1 (
  ""Player"" TEXT,
  ""Country"" TEXT,
  ""Year_s__won"" TEXT,
  ""Total"" TEXT,
  ""To_par"" TEXT,
  ""Finish"" TEXT
);","SELECT ""Year_s__won"" FROM 2-18786347-1 WHERE ""Total"" = 289",2-18786347-1
What is the average dismissals of 83 test and catches less than 33?,"CREATE TABLE 2-12397222-1 (
  ""Player"" TEXT,
  ""Test_Career"" TEXT,
  ""Tests"" TEXT,
  ""Catches"" TEXT,
  ""Stumpings"" TEXT,
  ""Total_Dismissals"" TEXT
);","SELECT AVG(""Total_Dismissals"") FROM 2-12397222-1 WHERE ""Tests"" = 83 AND ""Catches"" < 33",2-12397222-1
How many played has an against greater than 57 and a lost bigger than 14?,"CREATE TABLE 2-15318779-1 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Against"" TEXT,
  ""Difference"" TEXT
);","SELECT COUNT(""Played"") FROM 2-15318779-1 WHERE ""Against"" > 57 AND ""Lost"" > 14",2-15318779-1
What is the difference of the team with 12 points?,"CREATE TABLE 2-15244400-2 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Against"" TEXT,
  ""Difference"" TEXT
);","SELECT ""Difference"" FROM 2-15244400-2 WHERE ""Points"" = 12",2-15244400-2
When was the earliest first election?,"CREATE TABLE 1-1341663-26 (
  ""District"" TEXT,
  ""Incumbent"" TEXT,
  ""Party"" TEXT,
  ""First_elected"" TEXT,
  ""Result"" TEXT,
  ""Candidates"" TEXT
);","SELECT MIN(""First_elected"") FROM 1-1341663-26",1-1341663-26
What is the greatest number of losses when there are more than 0 draws and 1390 against matches?,"CREATE TABLE 2-18036506-5 (
  ""Golden_Rivers"" TEXT,
  ""Wins"" TEXT,
  ""Byes"" TEXT,
  ""Losses"" TEXT,
  ""Draws"" TEXT,
  ""Against"" TEXT
);","SELECT MAX(""Losses"") FROM 2-18036506-5 WHERE ""Draws"" > 0 AND ""Against"" = 1390",2-18036506-5
How many games lost associated with under 14 played?,"CREATE TABLE 2-15206839-3 (
  ""Position"" TEXT,
  ""Team"" TEXT,
  ""Points"" TEXT,
  ""Played"" TEXT,
  ""Drawn"" TEXT,
  ""Lost"" TEXT,
  ""Against"" TEXT,
  ""Difference"" TEXT
);","SELECT COUNT(""Lost"") FROM 2-15206839-3 WHERE ""Played"" < 14",2-15206839-3
"How many Goals have a Pct % larger than 0.557, a points value smaller than 90, and a games value larger than 68?","CREATE TABLE 2-1243547-2 (
  ""Season"" TEXT,
  ""Games"" TEXT,
  ""Lost"" TEXT,
  ""Points"" TEXT,
  ""Pct__"" TEXT,
  ""Goals_for"" TEXT,
  ""Goals_against"" TEXT,
  ""Standing"" TEXT
);","SELECT COUNT(""Goals_for"") FROM 2-1243547-2 WHERE ""Pct__"" > 0.557 AND ""Points"" < 90 AND ""Games"" > 68",2-1243547-2
What's the WChmp of the race greater than 42 and pole greater than 11?,"CREATE TABLE 2-13985563-2 (
  ""Class"" TEXT,
  ""Season"" TEXT,
  ""Race"" TEXT,
  ""Podiums"" TEXT,
  ""Pole"" TEXT,
  ""FLap"" TEXT,
  ""WChmp"" TEXT
);","SELECT COUNT(""WChmp"") FROM 2-13985563-2 WHERE ""Race"" > 42 AND ""Pole"" > 11",2-13985563-2
Which average bronze had a silver greater than 2 and a gold larger than 7?,"CREATE TABLE 2-12421856-3 (
  ""Rank"" TEXT,
  ""Gold"" TEXT,
  ""Silver"" TEXT,
  ""Bronze"" TEXT,
  ""Total"" TEXT
);","SELECT AVG(""Bronze"") FROM 2-12421856-3 WHERE ""Silver"" > 2 AND ""Gold"" > 7",2-12421856-3
What is the title of episode 155 in the series?,"CREATE TABLE 1-27988540-1 (
  ""No__in_series"" TEXT,
  ""No__in_season"" TEXT,
  ""Title"" TEXT,
  ""Directed_by"" TEXT,
  ""Written_by"" TEXT,
  ""Original_air_date"" TEXT,
  ""Production_code"" TEXT
);","SELECT ""Title"" FROM 1-27988540-1 WHERE ""No__in_series"" = 155",1-27988540-1
What is the total number of Points from a Match that is larger than 18?,"CREATE TABLE 2-15447701-4 (
  ""Team"" TEXT,
  ""Match"" TEXT,
  ""Points"" TEXT,
  ""Draw"" TEXT,
  ""Lost"" TEXT
);","SELECT COUNT(""Points"") FROM 2-15447701-4 WHERE ""Match"" > 18",2-15447701-4
"What is the highest winning pct from a team with wins less than 22, losses greater than 4, ties less than 2 and games started greater than 11?","CREATE TABLE 2-13932013-1 (
  ""Quarterback"" TEXT,
  ""Uniform_No_s_"" TEXT,
  ""Games_Started"" TEXT,
  ""Wins"" TEXT,
  ""Losses"" TEXT,
  ""Ties"" TEXT,
  ""Winning_Pct_"" TEXT
);","SELECT MAX(""Winning_Pct_"") FROM 2-13932013-1 WHERE ""Losses"" > 4 AND ""Ties"" < 2 AND ""Games_Started"" > 11 AND ""Wins"" < 22",2-13932013-1
What is the maximum total wins he had for any year? ,"CREATE TABLE 1-22839669-12 (
  ""Year"" TEXT,
  ""Majors"" TEXT,
  ""ATP_wins"" TEXT,
  ""Total_wins"" TEXT,
  ""Earnings____"" TEXT,
  ""Money_list_rank"" TEXT
);","SELECT MAX(""Total_wins"") FROM 1-22839669-12",1-22839669-12
